"FullFrontalNerdary",92,324,23.937744140625,26.344563802083332,21.530924479166664
"TheColoradoShakes",137,250,5.313517252604166,1.5261230468750002,9.100911458333334
"Gman",140,301,41.738525390625,43.80867513020833,39.668375651041664
"TheRealFatBoy",84,258,0.8140462239583334,1.5682779947916667,0.059814453125
"Floyd99",122,258,5.756998697916666,8.675944010416666,2.8380533854166665
"JonnyWolverine",26,225,0.0025634765625,0.0,0.005126953125
"Taddie",94,240,3.3937581380208335,0.955322265625,5.832194010416667
"Jimbo2",94,218,0.06009928385416667,0.09456380208333334,0.025634765625
"JimboShoeLace",126,310,34.63883463541666,45.834391276041664,23.443277994791668
"Dan_Tonio_Lafferty",77,248,0.2657470703125,0.37939453125,0.152099609375
"TootyRudy",100,290,10.116902669270832,4.098714192708333,16.135091145833332
"aboyce5",39,285,2.310546875,0.839111328125,3.781982421875
"blechel",108,253,8.638631184895834,5.259684244791667,12.017578124999998
"seconds",78,235,3.0120849609375,0.615234375,5.408935546875
