"lschraub",11,278,1.2646022717158
"matthewlboyd",0,289,1.1889720757802287
"MrsStoneberry",0,315,8.14666179021188
"acreal13",15,317,12.31178562641186
"TheRealFatBoy",28,299,11.154993263880527
"shoseyme",20,300,4.2771311521530695
"Dan_Tonio",47,304,14.753907895088684
"badash26",39,325,20.97492529551151
"Taddie",22,311,19.518167098363268
"John_Boy",20,319,13.685732722282749
"lechel12",25,304,8.637577207883133
"Convertingspartys",2,278,1.5196043252944884
"TheColoradoShakes",61,314,26.877690688767952
"DrunclePete",19,322,16.16459797223449
"JimboShoeLace",3,298,2.529633903503446
"Papa_Creal",21,288,4.136081099510263
"BardFan52",0,285,2.857935611406986
