"TheColoradoShakes",117,250,2.68438720703125,0.055257161458333336,5.313517252604166
"Gman",118,301,28.39335123697918,15.04817708333334,41.73852539062501
"Jimbo2",94,235,0.29380289713541663,0.5275065104166666,0.06009928385416667
"Floyd99",101,258,3.082366943359375,0.40773518880208337,5.756998697916666
"JimboShoeLace",126,323,42.86695353190103,51.09507242838543,34.638834635416664
"TootyRudy",100,311,19.732076009114586,29.34724934895832,10.116902669270832
"blechel",108,275,14.7596435546875,20.880655924479164,8.638631184895832
"seconds",78,246,4.184305826822916,5.356526692708332,3.0120849609375
"Taddie",74,240,1.976938883463542,0.56011962890625,3.3937581380208335
"Dan_Tonio_Lafferty",77,266,1.3256734212239585,2.385599772135417,0.2657470703125
"FullFrontalNerdary",77,324,16.36623128255208,8.794718424479166,23.937744140625
"TheRealFatBoy",84,261,0.8562011718749999,0.8983561197916667,0.8140462239583334
"aboyce5",39,299,3.476786295572916,4.643025716145834,2.310546875
"JonnyWolverine",11,225,0.00128173828125,0.0,0.0025634765625
