"lschraub",14,278,0.7242485682169588
"matthewlboyd",5,289,0.8135279019673636
"MrsStoneberry",5,315,7.873435576756864
"acreal13",19,317,11.261027367909579
"TheRealFatBoy",28,292,7.901389376322513
"shoseyme",25,300,3.2279627958933332
"Dan_Tonio",67,304,18.62025008201603
"badash26",57,325,24.69735363324525
"Taddie",22,286,9.655885140101113
"John_Boy",37,319,16.0782236417133
"lechel12",31,304,7.4607973098756
"Convertingspartys",5,278,1.0861223697662343
"TheColoradoShakes",84,314,34.4769658088685
"DrunclePete",22,322,15.203483422597017
"JimboShoeLace",6,298,1.7192876974741713
"Papa_Creal",38,288,5.466440041859972
"BardFan52",20,285,3.733599265416432
