"TheColoradoShakes",75,312,15.839155356089735
"Gman",71,324,18.20822793642693
"Jimbo2",42,306,6.117002375920531
"Floyd99",46,324,11.568976402282892
"JimboShoeLace",44,340,15.290277306239345
"TootyRudy",55,349,22.124405908584045
"blechel",51,323,14.17544037501048
"seconds",30,308,8.923459132512361
"Taddie",26,301,5.456979815165163
"Dan_Tonio_Lafferty",17,299,2.012689479192078
"FullFrontalNerdary",23,347,11.729031801224005
"TheRealFatBoy",20,307,1.5765246232350594
"aboyce5",11,341,6.564451424280656
"JonnyWolverine",5,284,0.41337806383768555
