"TheColoradoShakes",117,230,0.055257161458333336
"Gman",118,279,15.04817708333334
"Jimbo2",111,235,0.5275065104166666
"Floyd99",101,237,0.40773518880208337
"JimboShoeLace",139,323,51.09507242838543
"TootyRudy",121,311,29.34724934895832
"blechel",130,275,20.880655924479164
"seconds",89,246,5.356526692708332
"Taddie",74,220,0.56011962890625
"Dan_Tonio_Lafferty",95,266,2.385599772135417
"FullFrontalNerdary",77,309,8.794718424479166
"TheRealFatBoy",87,261,0.8983561197916667
"aboyce5",53,299,4.643025716145834
"JonnyWolverine",11,210,0.0
