"TheColoradoShakes",137,250,5.313517252604166
"Gman",140,301,41.73852539062501
"Jimbo2",94,218,0.06009928385416667
"Floyd99",122,258,5.756998697916666
"JimboShoeLace",126,310,34.638834635416664
"TootyRudy",100,290,10.116902669270832
"blechel",108,253,8.638631184895832
"seconds",78,235,3.0120849609375
"Taddie",94,240,3.3937581380208335
"Dan_Tonio_Lafferty",77,248,0.2657470703125
"FullFrontalNerdary",92,324,23.937744140625
"TheRealFatBoy",84,258,0.8140462239583334
"aboyce5",39,285,2.310546875
"JonnyWolverine",26,225,0.0025634765625
