"TheColoradoShakes",51,312,10.321813790003343
"Gman",50,324,12.686292695998544
"Jimbo2",42,326,12.166693353652564
"Floyd99",39,324,10.704788287480493
"JimboShoeLace",39,340,15.02767555713555
"TootyRudy",38,349,16.978123180070885
"blechel",37,323,11.432345938682236
"seconds",30,325,13.604781508445265
"Taddie",26,327,13.214273460705499
"Dan_Tonio_Lafferty",17,314,4.663265609741206
"FullFrontalNerdary",16,347,10.985532808303542
"TheRealFatBoy",15,307,1.5677424907684454
"aboyce5",5,341,6.1215669552487855
"JonnyWolverine",3,284,0.5251043637593613
